,Date,Open,High,Low,Close,Volume
25050,2020-06-30 10:00:00,226.92000000,227.51000000,226.76000000,227.26000000,12908.78363000
25051,2020-06-30 11:00:00,227.27000000,227.76000000,226.70000000,227.64000000,15197.86340000
25052,2020-06-30 12:00:00,227.62000000,227.67000000,224.08000000,224.85000000,37339.16699000
25053,2020-06-30 13:00:00,224.86000000,225.33000000,222.91000000,224.58000000,58310.80817000
25054,2020-06-30 14:00:00,224.60000000,226.69000000,224.43000000,226.39000000,27313.10907000
25055,2020-06-30 15:00:00,226.38000000,226.94000000,225.65000000,226.37000000,22766.18098000
25056,2020-06-30 16:00:00,226.37000000,226.49000000,225.28000000,226.03000000,13182.06867000
25057,2020-06-30 17:00:00,226.01000000,226.05000000,224.63000000,225.35000000,13549.52947000
25058,2020-06-30 18:00:00,225.35000000,225.75000000,224.83000000,225.07000000,9575.94927000
25059,2020-06-30 19:00:00,225.08000000,225.79000000,224.41000000,224.90000000,15432.14137000
25060,2020-06-30 20:00:00,224.90000000,225.82000000,224.71000000,225.59000000,7124.05574000
25061,2020-06-30 21:00:00,225.59000000,226.49000000,225.29000000,226.06000000,9786.79199000
25062,2020-06-30 22:00:00,226.06000000,226.24000000,224.98000000,225.22000000,9176.13884000
25063,2020-06-30 23:00:00,225.18000000,226.10000000,225.13000000,225.60000000,8432.97823000
25064,2020-07-01 00:00:00,225.59000000,225.61000000,224.16000000,225.04000000,23266.27633000
25065,2020-07-01 01:00:00,225.05000000,225.33000000,224.36000000,224.97000000,8567.97693000
25066,2020-07-01 02:00:00,224.98000000,226.00000000,224.61000000,225.44000000,20358.43408000
25067,2020-07-01 03:00:00,225.46000000,225.84000000,224.30000000,225.44000000,13304.53700000
25068,2020-07-01 04:00:00,225.45000000,226.00000000,225.36000000,225.62000000,13444.58195000
25069,2020-07-01 05:00:00,225.63000000,226.00000000,225.32000000,225.51000000,10596.09069000
25070,2020-07-01 06:00:00,225.51000000,225.86000000,224.80000000,225.14000000,12513.51655000
25071,2020-07-01 07:00:00,225.13000000,226.35000000,225.10000000,225.58000000,17505.09311000
25072,2020-07-01 08:00:00,225.58000000,228.91000000,225.56000000,227.87000000,47198.36125000
25073,2020-07-01 09:00:00,227.86000000,228.53000000,227.40000000,227.61000000,22413.61184000
25074,2020-07-01 10:00:00,227.61000000,228.18000000,227.28000000,227.45000000,14189.78526000
25075,2020-07-01 11:00:00,227.44000000,227.67000000,226.73000000,227.66000000,16250.04295000
25076,2020-07-01 12:00:00,227.66000000,227.72000000,226.80000000,227.70000000,13582.79168000
25077,2020-07-01 13:00:00,227.69000000,229.13000000,227.26000000,228.43000000,37350.29018000
25078,2020-07-01 14:00:00,228.44000000,229.24000000,228.27000000,228.59000000,24379.06704000
25079,2020-07-01 15:00:00,228.59000000,229.42000000,228.51000000,229.42000000,18875.46525000
25080,2020-07-01 16:00:00,229.42000000,231.98000000,228.70000000,231.50000000,69171.38722000
